Modo,decil_renda,RM,share,frequencia,frequencia_sd,frequencia_ci,ticket,ticket_sd,ticket_ci,gasto,gasto_sd,gasto_ci,pop,pop2
Aplicativo,9,Belo Horizonte,0.008730691739,10.26432254,9.947082208,5.627988165,17.01865039,9.371184251,5.302149209,2161.215874,2173.342779,1229.661843,1489,13
Aplicativo,9,Brasil Urbano,0.03760913365,4.7907802,6.991470788,1.831144535,35.07654676,39.68752863,10.39460843,1255.476795,1603.370505,419.9407001,1489,56
Aplicativo,9,Brasilia,0.0120886501,6.663258348,8.828800169,4.078622643,55.23965275,59.10966274,27.30676924,2044.765134,2685.562921,1240.643975,1489,18
Aplicativo,9,Campo Grande,0.002686366689,8.139687258,6.940887978,6.801945234,81.85224164,122.9943958,120.5322932,1357.192463,742.2203931,727.3626201,1489,4
Aplicativo,9,Curitiba,0.002014775017,8.042503873,4.333333333,6.005583244,20.41403937,14.2393785,19.73440913,2372.499283,2842.07713,3938.845566,1489,3
Aplicativo,9,Florianopolis,0.005372733378,1.938373072,3.080597242,2.28209644,117.4240435,111.2984179,82.44950686,914.609432,669.15546,495.7081935,1489,8
Aplicativo,9,Fortaleza,0.005372733378,10.01274797,13.66601334,10.12373834,16.45019152,10.73455975,7.952127032,1650.099686,1962.519824,1453.828318,1489,8
Aplicativo,9,Goiania,0.002686366689,8.476297992,8.666666667,8.493177273,19.1240399,19.18625376,18.8021832,2269.157441,2909.078766,2850.844807,1489,4
Aplicativo,9,Maceio,0.001343183345,6.5,3.064129385,4.246588637,29.99,28.36912406,39.31687756,1817.66,1110.072794,1538.454131,1489,2
Aplicativo,9,Manaus,0.002686366689,7.039832603,2.501851166,2.451769092,16.20706883,4.34456629,4.257596732,1320.613559,408.1712665,400.0004913,1489,4
Aplicativo,9,Porto Alegre,0.01276024177,10.45205246,7.636817901,3.527965048,33.3612551,43.94782995,20.30248855,2197.947961,1588.082779,733.6433328,1489,19
Aplicativo,9,Recife,0.009402283412,10.38856835,6.760692251,3.541402101,24.17629684,18.31498143,9.593797695,2576.783602,2497.946241,1308.480218,1489,14
Aplicativo,9,Rio de Janeiro,0.008059100067,5.723570871,2.854938423,1.615303797,52.09192421,48.86802573,27.6491804,2568.691471,1517.34279,858.5017284,1489,12
Aplicativo,9,Salvador,0.00604432505,2.900442794,1.788164104,1.168245749,76.15708118,76.41666858,49.92463945,738.6254229,327.2568827,213.8039014,1489,9
Aplicativo,9,Sao Luis,0.001343183345,4.333333333,0,0,12.12983103,3.493107499,4.841111046,630.7512136,181.64159,251.7377744,1489,2
Aplicativo,9,Sao Paulo,0.01276024177,10.42631874,16.18603269,7.477428209,42.17059328,41.50333226,19.17320898,3408.495747,4050.353477,1871.133459,1489,19
Aplicativo,9,Vitoria,0.007387508395,4.519950178,4.201490837,2.604063151,48.63382797,53.35665639,33.0701906,1562.065746,1889.186058,1170.908135,1489,11
Aplicativo,9,Zona Rural,0.002686366689,0.433083279,2,1.959963986,36.73161869,37.15998329,36.41611449,173.3083404,486.4058348,476.6689594,1489,4
Aplicativo,10,Belo Horizonte,0.01813297515,7.130114758,6.822745602,2.622530789,72.7352591,112.4267155,43.21464408,1735.58578,1497.878506,575.755382,1489,27
Aplicativo,10,Brasil Urbano,0.04768300873,5.542459857,4.936729123,1.156480647,56.08251384,76.03482999,17.81195751,1978.489581,1652.174413,387.0392089,1489,71
Aplicativo,10,Brasilia,0.0120886501,9.813566843,7.306447049,3.375344305,66.05900771,176.8966243,81.72056942,2659.660219,3236.091501,1494.97053,1489,18
Aplicativo,10,Campo Grande,0.006715916723,6.783412281,7.618690468,4.722026508,28.59884055,23.98728001,14.867197,1459.478989,2104.412186,1304.30422,1489,10
Aplicativo,10,Cuiaba,0.004029550034,3.984046004,5.323950079,4.666562253,148.124875,155.8084638,136.5696306,1427.996608,808.2723507,708.4689349,1489,6
Aplicativo,10,Curitiba,0.001343183345,4.333333333,0,0,31.53594295,2.368807717,3.282939677,1639.869033,123.1780013,170.7128632,1489,2
Aplicativo,10,Florianopolis,0.002014775017,4.537065069,4.16777763,5.776138961,28.74645298,25.60042041,35.47972058,596.0723024,416.0888424,576.6591185,1489,3
Aplicativo,10,Fortaleza,0.008059100067,6.933849155,8.071440277,4.566763339,27.5440804,29.27175341,16.5617493,1723.502239,2300.010789,1301.329699,1489,12
Aplicativo,10,Goiania,0.002686366689,8.503372504,8.666666667,8.493177273,19.20225791,7.828245333,7.671539464,1525.943966,816.0746177,799.7384304,1489,4
Aplicativo,10,Maceio,0.00604432505,2.944991479,3.593117564,2.347460341,98.38651997,95.04436293,62.09450948,1009.397862,660.1298653,431.2769207,1489,9
Aplicativo,10,Manaus,0.002014775017,7.035277379,6.475023237,8.973759475,35.41423441,32.945428,45.65919469,2177.627384,2051.135562,2842.676622,1489,3
Aplicativo,10,Porto Alegre,0.01410342512,11.33898449,9.317787507,4.083625392,32.54472693,85.76406352,37.58706745,2312.464975,1938.64829,849.6344629,1489,21
Aplicativo,10,Recife,0.01410342512,3.459982685,2.812481628,1.232601772,47.20901958,30.00599921,13.15046734,1210.028034,1303.519514,571.2821184,1489,21
Aplicativo,10,Rio de Janeiro,0.0194761585,9.274015785,6.651110751,2.42071283,38.7148523,46.6435442,16.97620595,3022.643162,2513.02667,914.631575,1489,29
Aplicativo,10,Salvador,0.01343183345,3.889050391,3.138331214,1.375409025,126.4401925,181.4194811,79.50913229,1532.678015,1189.178704,521.1709698,1489,20
Aplicativo,10,Sao Luis,0.004701141706,4.965215614,3.237511619,2.398338102,21.02246178,8.771866826,6.498170481,1121.985949,844.5195042,625.6173084,1489,7
Aplicativo,10,Sao Paulo,0.02014775017,9.477047953,9.449090586,3.439054869,37.4943338,80.05723933,29.13732662,2695.474978,2762.1447,1005.299621,1489,30
Aplicativo,10,Vitoria,0.00604432505,4.983676606,3.324989557,2.172286595,39.80441061,33.1381222,21.64984203,1858.726502,1170.746894,764.8739165,1489,9
Aplicativo,10,Zona Rural,0.004701141706,7.676012087,5.878397363,4.354697692,53.09519407,62.06482115,45.97741811,2881.566441,2719.085465,2014.289689,1489,7
Taxi,1,Belem,0.002598440935,4.127811643,3.195438344,1.737028153,20.54144286,24.19074839,13.14999899,804.8784192,1307.145883,710.5595398,5003,13
Taxi,1,Brasil Urbano,0.09994003598,4.459340883,4.113968688,0.3605986289,30.23397202,82.90381741,7.266706472,618.0321877,1217.77436,106.7406677,5003,500
Taxi,1,Cuiaba,0.0003997601439,4.333333333,0,0,64.4795913,41.1677568,57.05455164,3352.938748,2140.723354,2966.836685,5003,2
Taxi,1,Fortaleza,0.00199880072,5.925912624,5.997530356,3.717239524,18.87361407,17.85870469,11.06873646,595.8905006,450.1661915,279.0107694,5003,10
Taxi,1,Maceio,0.0009994003598,4.333333333,0,0,32.26275276,37.99605243,37.23544719,1677.663143,1975.794726,1936.243254,5003,5
Taxi,1,Manaus,0.004797121727,5.591994286,6.309882212,2.578727345,44.74782947,114.3637408,46.73825848,602.7722968,542.7090394,221.794733,5003,24
Taxi,1,Porto Alegre,0.001399160504,5.543713895,3.275692099,2.62105141,17.21776361,6.166988409,4.93452778,1137.39982,711.5418537,569.3415994,5003,7
Taxi,1,Recife,0.002998201079,6.835675723,8.092912831,4.095503717,12.30149951,8.284811117,4.192615865,828.41057,963.272992,487.4744362,5003,15
Taxi,1,Rio de Janeiro,0.002198680792,6.469217647,7.01167857,4.345803549,22.72919938,32.81567231,20.3389907,1357.296304,1647.772063,1021.28094,5003,11
Taxi,1,Salvador,0.001798920648,7.653940995,7.466178886,5.17370294,24.3165663,63.05850458,43.69651136,1062.603757,847.8036985,587.4871945,5003,9
Taxi,1,Sao Luis,0.0005996402159,4.507639525,4.16777763,4.716197712,37.98603756,84.00595217,95.05993713,377.2206935,170.1920484,192.5868942,5003,3
Taxi,1,Sao Paulo,0.0007995202878,4.333333333,0,0,18.95121992,17.85823806,17.50075173,985.4634359,928.6283792,910.0390899,5003,4
Taxi,1,Zona Rural,0.0227863282,3.164781744,2.329942976,0.4277016815,26.226484,25.93657937,4.761111635,742.1844987,1008.850465,185.1921033,5003,114
Taxi,2,Belem,0.0009994003598,5.913347388,1.93792558,1.899132173,11.19441057,6.103277808,5.98110235,819.1114578,468,458.6315728,5003,5
Taxi,2,Belo Horizonte,0.0005996402159,2.864973606,2.309401077,2.613285315,43.67089932,5.773502692,6.533213287,1389.870928,1085.418506,1228.244098,5003,3
Taxi,2,Brasil Urbano,0.08614831101,5.164281951,5.161699436,0.4873064597,28.10343041,60.60958874,5.722038735,817.6132729,1113.916922,105.1628283,5003,431
Taxi,2,Brasilia,0.0007995202878,3.263556614,2,1.959963986,33.66176935,42.6633543,41.80931898,1397.257315,2405.622424,2357.466658,5003,4
